,0
0,置信逸景苑 
1,昌建星悦城 
2,牡丹名城 
3,国色天香 
4,上升街19号小区 
5,航利星海湾 
6,天立世纪华府 
7,温哥华牡丹花园小区 
8,丰顺苑 
9,紫光兴城(彭州) 
10,西海东街25号 
11,置信丹郡湖岸 
12,置信逸都丹郡C区 
13,置信逸都丹郡A区 
14,丹郡兰庭 
15,铧炉景园 
16,华润置地理想之城 
17,龙安社区六组110号 
18,紫御兰庭 
19,中瑞天悦天玺 
20,财信上河新界 
21,锦绣尚城 
22,中节能新时代广场 
23,君悦濠庭 
24,水岸名都 
25,天人路78号 
26,安居苑 
27,柳河雅居院 
28,碧城旺丽庄园 
29,人居越秀紫云府 
30,盛世天彭 
31,海德花园 
32,丹郡F区 
33,体育场西街2号 
34,朋城远界 
35,新生小区 
36,德坤汀城 
37,城南佳苑 
38,中海外北岛 
39,嘉仁七里香溪 
40,龙兴北巷57号 
41,兰庭丽景 
42,凤凰城清溪园 
43,中和新城 
44,天府中路130号 
45,坤力.柳河左岸 
46,官渠坊 
47,置信丽都府 
48,四通西街38号 
49,鸿运星城 
50,东南苑 
51,牡丹大道中段420号 
52,金誉兰庭 
53,上林苑 
54,翠湖居325号小区 
55,润鑫宅院 
56,利民巷1号 
57,凤鸣苑 
58,金彭西路 
59,许家巷37号 
60,华庆小区 
61,东湖五巷138号 
62,国投天樾云宸 
63,宝阁丽公馆 
64,西大街228号附2号院 
65,香颂苑小区 
66,清阁苑 
67,西海南街 
68,南大街143号 
69,丽景华庭A区 
70,美的碧桂园观澜府 
71,彭州苑 
72,川铁天佑嘉园 
73,金彭西路332号 
74,桂花街 
75,福苑美景 
76,碧城豪庭 
77,牡丹云锦 
78,恒昌贵筑 
79,红石桥电站 
80,锦城国际 
81,涧水小区 
82,繁江六巷29号 
83,紫丹阁 
84,城市花园二期 
85,置信逸都丹郡D区 
86,康乐苑 
87,金穗苑 
88,永兴巷109号 
89,富民巷39号 
90,银杏春天A段 
91,彭州花园 
92,水润尚居 
93,赛纳花苑 
94,信达御景A区 
95,柳河花园西区 
96,四川省化工地质堪查院 
97,商业街36号 
98,兰桂苑 
99,城市花园一期 
100,南苑小区 
101,绣城路北段85号 
102,书香居 
103,康居北巷111号 
104,渠苑小区 
105,昇华台 
106,碳素苑 
107,西大街120号 
108,置信丽岛 
109,彭州市实验小学教师苑 
110,新博新美连锁住宅区 
111,航丽广场 
112,晋林小区 
113,四通北街56号 
114,西海北街154号 
115,体育场西街1号 
116,城南星座 
117,园丁巷28号 
118,跃煤小区 
119,润龢园 
120,富民巷22号 
121,柳河花园东区 
122,606家属区 
123,朝阳北路69号 
124,草甸苑 
125,牡丹花园 
126,北大街34号 
127,钟楼路55号 
128,花市巷4号 
129,上升街22号 
130,外南商住楼 
131,绿城牡丹苑 
132,翠湖名苑 
133,新余街 
134,顺风港 
135,延秀街27号 
136,显圣街30号 
137,东南市街86号 
138,南大街436号 
139,东顺苑 
140,新余路86号 
141,太平洋澎洲岛一期 
142,人岷小区 
143,东南市街16号 
144,粼江府邸 
145,城中花园 
146,外南街137号 
147,小北街 
148,钟楼路25号 
149,民政局家属区 
150,东大街17号 
151,天泰玲珑居北园 
152,南河东街29号 
153,中国工商银行彭州市支行宿舍 
154,普照苑 
155,法院家属区 
156,康和苑 
157,天湖花园 
158,畜牧局家属院 
159,警苑 
160,东北市街109号 
161,人民银行家属区 
162,明顺园 
163,蜗居 
164,碧美恋城中央 
165,满庭芳 
166,上升街98号 
167,兴苑幸福人家 
168,花簇锦绣 
169,天乐苑 
170,安仁街22号院 
171,海强佳苑 
172,东大街119号 
173,人民检察院职工住宅 
174,星火巷47号 
175,外南街13号 
176,团结街115号 
177,爱国小区 
178,首城国际 
179,彭州市国税局住宅楼 
180,东湖西二巷 
181,许家巷79号 
182,金阁新城 
183,濛阳北街 
184,小北街52号 
185,长江东路26号 
186,成都国际医药港 
187,天湖花园C区 
188,政通街 
189,金彭西路276号 
